City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Opuwo,NA,2021-06-07 01:56:40,-18.0607,13.84,285.76,49,2,2.43
229,Sretensk,RU,2021-06-07 01:59:32,52.2453,117.7093,299.87,27,9,2.99
230,Bage,BR,2021-06-07 01:59:33,-31.3314,-54.1069,280.82,100,0,3.6
231,Bukama,CD,2021-06-07 01:59:33,-9.2,25.85,291.46,67,25,1.0
232,Changchun,CN,2021-06-07 01:59:33,43.88,125.3228,294.13,44,33,0.67
233,Rocha,UY,2021-06-07 01:59:33,-34.4833,-54.3333,280.51,90,95,1.63
234,Boddam,GB,2021-06-07 01:59:34,57.4667,-1.7833,282.99,82,99,2.44
235,Odweyne,SO,2021-06-07 01:59:34,9.4092,45.064,295.64,61,0,4.93
236,Savelugu,GH,2021-06-07 01:59:34,9.6244,-0.8253,297.03,80,96,1.18
237,Lukaya,UG,2021-06-07 01:59:34,-0.1489,31.8748,293.18,88,72,1.35
238,Wanning,CN,2021-06-07 01:55:34,18.8003,110.3967,304.13,66,27,3.11
239,Esperance,AU,2021-06-07 01:52:18,-33.8667,121.9,288.06,60,100,11.3
240,Plateros,MX,2021-06-07 01:59:35,23.2167,-102.85,297.66,18,44,2.21
241,Abu Dhabi,AE,2021-06-07 01:57:46,24.4667,54.3667,305.16,66,0,5.91
242,Yellowknife,CA,2021-06-07 01:52:00,62.456,-114.3525,282.77,57,75,1.34
243,Villazon,BO,2021-06-07 01:59:35,-22.0866,-65.5942,278.41,12,76,4.4
244,Pisco,PE,2021-06-07 01:51:59,-13.7,-76.2167,290.38,88,20,1.54
245,Kulhudhuffushi,MV,2021-06-07 01:59:35,6.6221,73.07,301.03,78,94,6.48
246,Saquarema,BR,2021-06-07 01:59:35,-22.92,-42.5103,298.16,84,3,2.1
247,Teruel,ES,2021-06-07 01:59:36,40.6667,-0.6667,286.13,61,0,1.55
248,Malindi,KE,2021-06-07 01:59:36,-3.2175,40.1191,300.24,78,20,7.72
249,Port Moresby,PG,2021-06-07 01:59:36,-9.4431,147.1797,300.83,78,75,5.14
250,Gat,IL,2021-06-07 01:52:07,31.61,34.7642,292.82,78,0,0.78
251,Coihaique,CL,2021-06-07 01:52:10,-45.5752,-72.0662,279.12,87,90,3.09
252,Ust-Karsk,RU,2021-06-07 01:59:36,52.7011,118.8077,300.84,24,17,3.11
253,Khatanga,RU,2021-06-07 01:51:49,71.9667,102.5,275.85,71,97,4.49
254,Provideniya,RU,2021-06-07 01:52:19,64.3833,-173.3,276.21,70,75,5.0
